EnsembleGI	Chromosome	Gene_Start	Gene_End	Complement	Coding
ENSG00000197102.10	14	101964528	102050792	0	1
ENSG00000197106.6	1	110150486	110202202	0	1
ENSG00000197110.8	19	39243553	39245129	1	1
ENSG00000197111.15	12	53452102	53481162	0	1
ENSG00000197114.11	20	63707465	63736142	0	1
ENSG00000197119.12	14	100291111	100306547	1	1
ENSG00000197121.14	2	196833004	196927796	1	1
ENSG00000197122.11	20	37344685	37406050	0	1
ENSG00000197123.9	7	64228474	64266931	0	1
ENSG00000197124.11	19	19997058	20039506	1	1
ENSG00000197125.2	11	124440126	124441158	1	1
ENSG00000197128.11	19	57466663	57477570	1	1
ENSG00000197134.11	19	22052452	22091480	0	1
ENSG00000197136.4	11	65615773	65637439	0	1
ENSG00000197140.14	8	39106990	39284911	0	1
ENSG00000197142.10	10	112374018	112428380	0	1
ENSG00000197147.12	1	89524836	89597864	0	1
ENSG00000197149.5	11	17228279	17229151	0	0
ENSG00000197150.12	7	151028422	151047782	0	1
ENSG00000197153.4	6	27890382	27893106	1	1
ENSG00000197157.10	7	127652180	128092609	0	1
ENSG00000197161.7	11	48345351	48352447	1	0
ENSG00000197162.9	16	30573740	30585771	1	1
ENSG00000197165.10	16	28591943	28597109	1	1
ENSG00000197168.11	13	52033611	52129078	1	1
ENSG00000197170.9	17	67337916	67366627	1	1
ENSG00000197171.5	6	29290711	29291653	0	0
ENSG00000197172.10	X	152766136	152769747	1	1
ENSG00000197176.7	14	97632647	97686658	1	0
ENSG00000197177.15	10	133070929	133131675	0	1
ENSG00000197180.2	X	154424380	154428479	1	0
ENSG00000197181.11	8	22275297	22357563	0	1
ENSG00000197182.13	22	46053869	46113928	0	0
ENSG00000197183.13	20	32443059	32585074	1	1
ENSG00000197185.7	X	52606535	52611758	1	0
ENSG00000197191.4	9	137224635	137226311	0	1
ENSG00000197208.5	5	132294443	132344206	0	1
ENSG00000197210.7	22	21114607	21124451	1	0
ENSG00000197213.9	19	56189570	56197920	1	1
ENSG00000197214.5	9	97067749	97068628	0	0
ENSG00000197217.12	8	23385783	23457695	1	1
ENSG00000197223.11	2	68041130	68110948	1	1
ENSG00000197226.12	5	179862066	179907859	1	1
ENSG00000197233.7	9	122510802	122511743	0	1
ENSG00000197238.4	6	27824108	27824480	0	1
ENSG00000197241.3	1	9003300	9026345	1	1
ENSG00000197245.5	1	26159020	26163962	0	1
ENSG00000197249.13	14	94376747	94390693	1	1
ENSG00000197251.3	6	33586106	33593338	1	0
ENSG00000197253.13	16	1227272	1230184	1	1
ENSG00000197254.4	11	58685086	58691861	0	0
ENSG00000197256.10	19	11164267	11197791	1	1
ENSG00000197258.5	7	104667749	104669576	0	0
ENSG00000197261.11	6	49550646	49561907	0	1
ENSG00000197265.8	8	30578318	30658251	1	1
ENSG00000197272.2	16	28499362	28512051	1	1
ENSG00000197273.3	1	42162691	42164718	1	1
ENSG00000197275.13	8	94371960	94475109	1	1
ENSG00000197279.3	6	28080975	28089563	0	1
ENSG00000197283.13	6	33419661	33457541	0	1
ENSG00000197291.8	17	42753914	42761257	1	0
ENSG00000197296.5	20	44302838	44311169	1	1
ENSG00000197299.10	15	90717327	90816165	0	1
ENSG00000197301.7	12	65851340	65882167	1	0
ENSG00000197302.10	16	31713229	31794869	0	1
ENSG00000197308.9	10	8050450	8053484	1	0
ENSG00000197309.2	11	124185216	124186245	0	1
ENSG00000197312.11	1	15617500	15669044	0	1
ENSG00000197320.5	7	9726241	9728272	0	0
ENSG00000197321.14	10	29457338	29736781	1	1
ENSG00000197322.3	17	34574123	34579369	1	0
ENSG00000197323.11	1	114392777	114511160	1	1
ENSG00000197324.8	14	22871613	22881580	0	1
ENSG00000197329.11	2	64092652	64144454	1	1
ENSG00000197332.8	19	11639776	11686569	0	0
ENSG00000197334.2	8	9091240	9091508	0	0
ENSG00000197343.10	7	99558406	99576453	0	1
ENSG00000197345.12	11	68891276	68903835	1	1
ENSG00000197353.3	8	142750150	142752534	1	1
ENSG00000197355.10	9	137077501	137084539	0	1
ENSG00000197358.9	14	28264390	28265974	0	0
ENSG00000197360.9	19	22391019	22532485	1	1
ENSG00000197361.6	15	63597353	63602428	0	1
ENSG00000197362.14	7	149069643	149090782	1	1
ENSG00000197363.9	8	144798876	144811169	0	1
ENSG00000197364.6	1	153437058	153439949	1	1
ENSG00000197372.9	19	23525631	23687220	1	1
ENSG00000197375.12	5	132369752	132395614	0	1
ENSG00000197376.2	12	48507354	48529897	0	1
ENSG00000197380.10	19	46647612	46661138	1	1
ENSG00000197381.15	21	45073853	45226560	0	1
ENSG00000197385.5	3	31981771	31991628	0	1
ENSG00000197386.10	4	3074681	3243959	0	1
ENSG00000197403.3	1	158765744	158766682	1	1
ENSG00000197405.7	19	47290023	47322066	0	1
ENSG00000197406.7	14	101561351	101563452	0	1
ENSG00000197408.8	19	40991299	41018398	0	1
ENSG00000197409.7	6	26196840	26197250	1	1
ENSG00000197410.12	4	154232037	154491716	1	1
ENSG00000197415.11	3	157259742	157533619	1	1
ENSG00000197416.4	8	81524981	81531378	1	1
ENSG00000197417.7	17	3608262	3636322	1	1
ENSG00000197421.9	22	18773665	18843399	1	0
ENSG00000197428.2	11	4639715	4640838	0	1
ENSG00000197429.10	1	45694324	45750650	1	1
ENSG00000197430.10	10	96343216	96359365	1	1
ENSG00000197437.3	1	247672118	247673041	1	1
ENSG00000197442.9	6	136557047	136792518	1	1
ENSG00000197444.9	10	49734643	49762379	1	1
ENSG00000197445.2	16	73126637	73144447	1	0
ENSG00000197446.8	19	41114432	41128366	0	1
ENSG00000197448.13	7	143244093	143270854	0	1
ENSG00000197451.11	5	178204507	178211163	0	1
ENSG00000197454.1	1	248021948	248022886	0	1
ENSG00000197457.9	20	63639705	63657682	1	1
ENSG00000197461.13	7	497258	520296	1	1
ENSG00000197462.3	7	125917871	125933832	0	0
ENSG00000197465.13	4	143870867	143905563	1	1
ENSG00000197467.13	10	69801931	69964275	0	1
ENSG00000197468.5	4	8949630	8950559	0	0
ENSG00000197471.11	16	29662979	29670876	0	1
ENSG00000197472.14	1	246945547	247008093	1	1
ENSG00000197475.11	8	39451045	39522852	1	0
ENSG00000197476.3	16	31962063	31962381	0	0
ENSG00000197479.6	5	141199582	141203779	0	1
ENSG00000197483.9	19	55476332	55484487	0	1
ENSG00000197487.8	19	56176020	56185775	0	1
ENSG00000197496.5	20	46709487	46736347	0	1
ENSG00000197497.10	19	53159213	53193386	1	1
ENSG00000197498.12	6	110982015	111028263	0	1
ENSG00000197503.4	12	24566964	24584168	1	0
ENSG00000197506.7	9	84275457	84340683	1	1
ENSG00000197520.10	1	222737207	222750805	0	1
ENSG00000197530.12	1	1615415	1630610	0	1
ENSG00000197532.1	1	158547128	158548105	1	1
ENSG00000197535.14	15	52307283	52529050	1	1
ENSG00000197536.10	5	132410636	132476044	0	1
ENSG00000197540.7	19	544034	549924	0	1
ENSG00000197548.12	3	11272309	11557665	0	1
ENSG00000197549.9	22	21991099	22043934	1	0
ENSG00000197550.3	9	64817870	64836341	0	0
ENSG00000197555.9	14	71320449	71741229	0	1
ENSG00000197557.6	2	177612992	177618966	1	1
ENSG00000197558.11	7	149776042	149833979	0	1
ENSG00000197561.6	19	851014	856247	0	1
ENSG00000197562.9	16	589357	629272	0	1
ENSG00000197563.9	18	62043567	62187118	1	1
ENSG00000197565.15	X	108155607	108439497	1	1
ENSG00000197566.9	17	16620737	16653856	1	1
ENSG00000197568.13	1	70354805	70385339	0	1
ENSG00000197575.6	5	116716243	116716650	0	0
ENSG00000197576.13	7	27128507	27130799	1	1
ENSG00000197579.7	9	32540544	32552553	1	1
ENSG00000197580.11	11	112175467	112224699	0	1
ENSG00000197582.5	X	13378735	13379340	1	0
ENSG00000197584.11	3	178272932	178844429	0	1
ENSG00000197585.9	2	214250040	214684246	1	0
ENSG00000197586.12	20	25195693	25226729	0	1
ENSG00000197587.10	1	46506996	46514226	0	1
ENSG00000197588.9	19	50882096	50896398	1	0
ENSG00000197591.3	1	247840928	247841896	1	1
ENSG00000197594.11	6	131808016	131895155	0	1
ENSG00000197595.4	13	112647044	112684497	0	0
ENSG00000197599.12	16	1434383	1444556	1	1
ENSG00000197601.12	11	13668670	13732346	0	1
ENSG00000197603.13	5	37106228	37249428	1	1
ENSG00000197608.11	19	52064466	52095765	1	1
ENSG00000197614.10	12	8637346	8662888	1	1
ENSG00000197616.11	14	23381990	23408277	1	1
ENSG00000197617.6	1	247256072	247257143	0	0
ENSG00000197619.13	19	51991332	52008230	1	1
ENSG00000197620.10	X	149540355	149550510	0	1
ENSG00000197622.12	1	151050971	151070325	1	1
ENSG00000197627.3	15	84491480	84500599	1	0
ENSG00000197629.5	11	59208510	59212951	1	1
ENSG00000197632.8	18	63871692	63903890	0	1
ENSG00000197635.9	2	161992241	162074542	1	1
ENSG00000197641.11	18	63586989	63604639	0	1
ENSG00000197644.2	2	29899597	29907199	0	0
ENSG00000197646.7	9	5510570	5571254	0	1
ENSG00000197647.11	19	12014732	12035741	1	1
ENSG00000197651.4	12	90905622	90955176	1	1
ENSG00000197653.15	12	123762188	123936206	0	1
ENSG00000197658.9	11	63079940	63144221	1	1
ENSG00000197665.7	17	19155727	19159111	1	0
ENSG00000197670.6	20	53552770	53575863	0	0
ENSG00000197674.5	11	4690761	4691702	1	0
ENSG00000197683.4	21	30319124	30320316	1	1
ENSG00000197692.5	11	89293745	89294246	1	0
ENSG00000197694.14	9	128552558	128633662	0	1
ENSG00000197696.9	15	84655129	84658563	1	1
ENSG00000197702.11	11	12377185	12530801	0	1
ENSG00000197705.9	18	32672671	32773062	1	1
ENSG00000197706.3	12	55247198	55248302	0	1
ENSG00000197712.11	4	38867677	38945739	0	1
ENSG00000197713.14	2	210002565	210022259	0	1
ENSG00000197714.8	19	57280051	57293569	0	1
ENSG00000197721.16	1	207645113	207738416	0	1
ENSG00000197724.10	9	93576407	93679587	0	1
ENSG00000197728.9	12	56041853	56044675	0	1
ENSG00000197734.8	14	77760830	77769742	0	1
ENSG00000197744.5	5	118973796	118974122	0	0
ENSG00000197745.2	11	62296277	62299064	1	1
ENSG00000197746.13	10	71816298	71851375	1	1
ENSG00000197747.8	1	151982915	151994390	1	1
ENSG00000197748.12	10	104129888	104232362	1	1
ENSG00000197753.8	6	35805293	35833874	0	1
ENSG00000197756.9	2	216498189	216579180	0	1
ENSG00000197757.7	12	53990624	54030823	0	1
ENSG00000197763.13	3	126607052	126655155	1	1
ENSG00000197766.7	19	859643	863630	0	1
ENSG00000197768.10	9	137251261	137253483	0	1
ENSG00000197769.5	1	241995490	241999073	1	1
ENSG00000197771.12	10	119829404	119892556	1	1
ENSG00000197774.12	16	1773207	1781708	0	1
ENSG00000197776.7	14	49693105	49753152	0	1
ENSG00000197779.13	X	47836902	48002561	0	1
ENSG00000197780.9	1	109062486	109076002	1	1
ENSG00000197782.14	19	40069152	40090938	1	1
ENSG00000197785.13	1	1512151	1534687	0	1
ENSG00000197786.3	11	58358124	58359069	1	1
ENSG00000197790.1	11	4545191	4546144	0	1
ENSG00000197794.2	2	88915081	88915378	1	0
ENSG00000197798.8	11	126211414	126262986	0	1
ENSG00000197808.11	19	36637192	36666853	1	1
ENSG00000197813.5	19	49331617	49340303	1	0
ENSG00000197815.4	17	17858227	17860041	0	0
ENSG00000197816.13	9	97307304	97378524	0	1
ENSG00000197818.11	20	49812713	49892242	0	1
ENSG00000197822.10	5	69492292	69558104	0	1
ENSG00000197826.11	4	80335720	80963756	0	1
ENSG00000197837.3	12	14767999	14771131	1	1
ENSG00000197838.4	19	41088472	41096195	0	1
ENSG00000197841.14	19	34734155	34745378	0	1
ENSG00000197847.12	11	65213840	65242757	0	0
ENSG00000197849.5	11	124249676	124250611	0	1
ENSG00000197852.9	1	111680630	111755824	1	1
ENSG00000197857.13	19	12224686	12294887	1	1
ENSG00000197858.10	8	144082590	144086216	0	1
ENSG00000197859.9	9	133532164	133575519	0	1
ENSG00000197860.9	5	65665928	65723035	1	1
ENSG00000197863.8	19	36817428	36850787	1	1
ENSG00000197866.3	11	56628932	56629860	0	0
ENSG00000197870.12	12	11265924	11269805	1	1
ENSG00000197872.11	2	16549459	16666331	1	1
ENSG00000197879.14	17	1464098	1492812	1	1
ENSG00000197880.8	1	23581495	23640568	0	1
ENSG00000197882.3	11	86832540	86833449	1	0
ENSG00000197885.10	3	23891660	23946591	1	1
ENSG00000197887.3	11	58203202	58204181	1	1
ENSG00000197888.2	4	68537184	68568527	1	1
ENSG00000197889.9	10	14959439	14988050	0	1
ENSG00000197891.11	11	64590641	64602353	0	1
ENSG00000197892.12	8	29067279	29263124	1	1
ENSG00000197893.13	10	113588716	113664127	1	1
ENSG00000197894.10	4	99070978	99088801	1	1
ENSG00000197901.11	11	62936385	62984983	1	1
ENSG00000197903.7	6	27146418	27146798	1	1
ENSG00000197905.8	12	2959330	3040673	0	1
ENSG00000197912.13	16	89490917	89557768	0	1
ENSG00000197915.5	1	152212082	152224193	1	1
ENSG00000197919.4	9	21409169	21441316	0	1
ENSG00000197921.5	1	2528745	2530245	1	1
ENSG00000197927.12	2	131722375	131767404	0	0
ENSG00000197928.10	19	53235381	53254898	1	1
ENSG00000197930.12	14	52639916	52695900	1	1
ENSG00000197933.12	19	11721265	11739009	1	1
ENSG00000197934.8	21	26393635	26569252	0	0
ENSG00000197935.6	6	28994785	29005316	1	1
ENSG00000197937.12	19	53124072	53159075	1	1
ENSG00000197938.4	3	98282888	98283832	0	1
ENSG00000197943.9	16	81739097	81962693	0	1
ENSG00000197948.10	5	141639302	141651419	1	1
ENSG00000197951.8	19	56595264	56626481	0	1
ENSG00000197953.5	3	151733916	151761339	0	1
ENSG00000197956.9	1	153534599	153536244	1	1
ENSG00000197958.12	9	127447674	127451405	1	1
ENSG00000197959.13	1	171841498	172418466	0	1
ENSG00000197961.11	19	9560353	9584533	1	1
ENSG00000197965.11	1	167721192	167791919	0	1
ENSG00000197969.11	9	77177353	77421541	0	1
ENSG00000197971.14	18	76978827	77133683	1	1
ENSG00000197976.11	X	1591593	1602514	0	1
ENSG00000197977.3	6	10980759	11044314	1	1
ENSG00000197978.9	15	82430018	82439153	0	1
ENSG00000197980.11	3	156825481	157046129	0	1
ENSG00000197982.13	1	37806979	37809454	0	1
ENSG00000197984.3	11	4832133	4833072	0	0
ENSG00000197989.13	1	28578538	28582983	1	0
ENSG00000197990.6	7	63449819	63456687	0	0
ENSG00000197991.11	13	61409858	61427849	1	1
ENSG00000197992.6	12	10030677	10066027	0	1
ENSG00000197993.7	7	142941114	142962681	1	1
ENSG00000198000.11	9	92297358	92325636	1	1
ENSG00000198001.13	12	43758944	43789543	0	1
ENSG00000198003.11	19	11420604	11435782	1	1
ENSG00000198010.12	8	737596	1708474	0	1
ENSG00000198015.12	12	93467488	93516213	0	1
ENSG00000198018.6	10	99659506	99706240	0	1
ENSG00000198019.12	1	121087345	121096310	0	1
ENSG00000198021.7	X	141583674	141585011	1	1
ENSG00000198022.6	X	135673591	135686151	1	0
ENSG00000198026.7	20	45948653	45972172	1	1
ENSG00000198028.3	19	9466507	9498607	1	1
ENSG00000198033.11	13	19173770	19181852	1	1
ENSG00000198034.10	X	72255679	72277300	1	1
ENSG00000198039.11	7	64870172	64930966	0	1
ENSG00000198040.10	12	133037292	133063304	0	1
ENSG00000198042.10	8	33484750	33501260	0	1
ENSG00000198046.11	19	56439325	56478065	1	1
ENSG00000198049.6	1	206109692	206117699	1	1
ENSG00000198053.11	20	1894167	1940592	0	1
ENSG00000198054.11	21	38121451	38188016	0	1
ENSG00000198055.10	5	177403204	177442901	0	1
ENSG00000198056.13	12	56731596	56752373	1	1
ENSG00000198060.9	10	92291163	92353964	0	1
ENSG00000198062.14	22	15690026	15721631	0	1
ENSG00000198064.13	16	30222937	30254510	1	1
ENSG00000198074.9	7	134527592	134541408	0	1
ENSG00000198075.9	2	108377911	108388057	0	1
ENSG00000198077.10	19	40875439	40882752	1	1
ENSG00000198081.10	18	5289019	5297053	1	1
ENSG00000198083.9	17	41255384	41256364	0	1
ENSG00000198087.7	6	47477789	47627263	0	1
ENSG00000198088.10	X	107123427	107206433	1	1
ENSG00000198089.14	22	31488688	31618586	0	1
ENSG00000198090.3	17	41139433	41140487	1	1
ENSG00000198092.5	4	68053198	68129880	1	1
ENSG00000198093.10	19	51889224	51905040	1	1
ENSG00000198099.8	4	99123657	99157792	1	1
ENSG00000198104.2	1	248387609	248388535	0	1
ENSG00000198105.12	10	37802823	37858106	1	1
ENSG00000198106.8	16	29291220	29372110	0	0
ENSG00000198108.3	5	129904472	130186634	0	1
ENSG00000198113.2	9	137277749	137282641	0	1
ENSG00000198121.13	9	110873263	111038458	1	1
ENSG00000198125.12	22	35606764	35637951	1	1
ENSG00000198128.3	1	248060682	248061620	0	1
ENSG00000198129.2	8	7495846	7509311	0	1
ENSG00000198130.15	2	190189735	190344193	1	1
ENSG00000198131.13	19	58228594	58277495	0	1
ENSG00000198133.8	14	67447084	67533739	1	1
ENSG00000198134.3	12	12111163	12111489	0	0
ENSG00000198142.4	2	109614334	109618990	0	1
ENSG00000198146.4	15	34978341	34988287	1	1
ENSG00000198153.8	19	22685167	22686732	0	0
ENSG00000198155.5	4	212610	255985	0	0
ENSG00000198156.10	16	28342555	28363508	1	1
ENSG00000198157.10	X	81113701	81201942	1	1
ENSG00000198160.14	1	66924895	66988619	0	1
ENSG00000198162.12	1	117367449	117528872	0	1
ENSG00000198168.8	11	22813799	22830299	1	1
ENSG00000198169.8	8	144720907	144756417	1	1
ENSG00000198171.12	20	3190350	3204685	1	1
ENSG00000198173.4	X	37008397	37011666	0	1
ENSG00000198176.12	13	113584721	113641470	0	1
ENSG00000198178.10	12	7729415	7751605	1	1
ENSG00000198182.12	19	37696363	37719790	1	1
ENSG00000198183.11	20	33235995	33243311	0	1
ENSG00000198185.11	20	46499630	46513559	1	1
ENSG00000198189.10	4	87336610	87391386	1	1
ENSG00000198198.14	1	43389882	43452650	0	1
ENSG00000198203.9	2	108288639	108309915	0	1
ENSG00000198205.6	X	57906708	57910820	1	1
ENSG00000198208.11	14	74903954	74923396	1	1
ENSG00000198211.8	16	89919165	89936092	0	1
ENSG00000198216.10	1	181413102	181808084	0	1
ENSG00000198217.3	11	4876557	4877462	0	0
ENSG00000198218.10	3	49029707	49094363	1	1
ENSG00000198221.8	6	167823876	167826709	1	0
ENSG00000198223.16	X	1268800	1310381	0	1
ENSG00000198225.5	6	63211446	63213024	0	1
ENSG00000198231.12	17	63773603	63819317	0	1
ENSG00000198237.8	5	69875271	69920867	0	0
ENSG00000198242.13	17	28719393	28724359	0	1
ENSG00000198246.7	10	71319258	71363385	0	1
ENSG00000198251.7	19	40908480	40910685	1	0
ENSG00000198252.11	14	52730180	52774998	0	1
ENSG00000198258.10	19	9827892	9830115	0	1
ENSG00000198261.3	11	59391354	59392292	1	0
ENSG00000198265.11	17	67070438	67245989	1	1
ENSG00000198270.12	12	111931282	112013185	1	1
ENSG00000198271.4	17	41148924	41149802	1	1
ENSG00000198276.14	20	63939829	63956415	1	1
ENSG00000198277.6	4	68914928	68924741	1	0
ENSG00000198283.2	11	58507175	58508105	1	1
ENSG00000198284.9	3	126660609	126671939	0	0
ENSG00000198286.9	7	2906141	3043945	1	1
ENSG00000198298.12	10	43606407	43617903	0	1
ENSG00000198300.12	19	56810083	56840728	1	1
ENSG00000198301.11	4	75940950	75990962	1	1
ENSG00000198312.4	9	63055641	63059217	0	0
ENSG00000198315.10	6	28141910	28159472	0	1
ENSG00000198324.13	12	111360651	111369121	1	1
ENSG00000198326.9	20	2816302	2820284	0	1
ENSG00000198331.10	11	125883614	125900648	0	1
ENSG00000198336.9	17	47200446	47223679	0	1
ENSG00000198342.9	19	12345949	12365905	1	1
ENSG00000198346.10	19	53467735	53496255	0	1
ENSG00000198353.7	12	54016931	54056030	0	1
ENSG00000198354.6	X	126163499	126166097	1	1
ENSG00000198355.4	22	49960513	49964080	0	1
ENSG00000198356.11	19	12737139	12748323	0	1
ENSG00000198358.4	1	160932465	160949922	0	0
ENSG00000198363.16	8	61500556	61714640	1	1
ENSG00000198367.3	19	14916428	14917380	0	0
ENSG00000198369.9	2	65310851	65432637	1	1
ENSG00000198373.12	16	69762306	69941741	0	1
ENSG00000198380.12	2	69319769	69387254	1	1
ENSG00000198382.8	11	75815167	76143195	0	1
ENSG00000198384.8	13	52522632	52586906	0	0
ENSG00000198390.4	21	30396074	30396822	0	1
ENSG00000198393.7	12	132986365	133032952	0	1
ENSG00000198398.2	3	190428655	190449876	1	1
ENSG00000198399.14	2	24202864	24360714	1	1
ENSG00000198400.11	1	156815640	156881850	0	1
ENSG00000198406.7	3	116645902	116646727	1	0
ENSG00000198408.13	10	101784443	101818465	1	1
ENSG00000198414.5	X	44283916	44286246	0	0
ENSG00000198416.9	9	39443815	39508885	1	0
ENSG00000198417.6	16	56657694	56660698	0	1
ENSG00000198420.9	7	143851375	143902198	1	1
ENSG00000198429.9	19	11887784	11914329	0	1
ENSG00000198431.15	12	104215779	104350305	0	1
ENSG00000198435.3	9	137300482	137302251	1	1
ENSG00000198440.9	19	56397966	56436035	0	1
ENSG00000198443.6	17	41184102	41185342	1	1
ENSG00000198445.4	22	16590751	16592810	1	1
ENSG00000198452.6	1	247619643	247620570	0	0
ENSG00000198453.12	19	36916329	36998700	0	1
ENSG00000198454.2	9	136969243	136971990	0	0
ENSG00000198455.4	X	57591652	57597545	0	1
ENSG00000198464.13	19	52297177	52325922	0	1
ENSG00000198466.11	19	57849857	57865112	0	1
ENSG00000198467.13	9	35681992	35691020	1	1
ENSG00000198468.7	1	212852108	212858088	1	0
ENSG00000198471.1	3	187698259	187702557	1	1
ENSG00000198478.7	6	79631283	79703659	0	1
ENSG00000198482.10	19	52527652	52564464	0	1
ENSG00000198483.12	1	145866560	145885866	1	1
ENSG00000198488.10	11	77034398	77041973	0	1
ENSG00000198491.3	3	187197090	187207629	1	0
ENSG00000198492.15	1	28736621	28769775	0	1
ENSG00000198496.10	17	43125610	43153671	0	0
ENSG00000198498.9	4	163494442	163520539	0	1
ENSG00000198502.5	6	32517343	32530287	1	1
ENSG00000198513.11	14	50532509	50633068	0	1
ENSG00000198515.13	4	47935977	48016672	1	1
ENSG00000198517.9	7	1530714	1543043	0	1
ENSG00000198520.10	1	44674692	44725591	0	1
ENSG00000198521.11	19	21804949	21852125	1	1
ENSG00000198522.13	2	27628247	27651508	0	1
ENSG00000198523.5	6	118548298	118560730	0	1
ENSG00000198526.7	2	146587506	146589310	0	0
ENSG00000198535.5	15	62066977	62070917	0	1
ENSG00000198538.10	19	52797409	52857600	1	1
ENSG00000198542.13	13	101452593	101720856	0	1
ENSG00000198546.14	10	133308475	133313162	0	1
ENSG00000198547.8	20	32631652	32673941	1	0
ENSG00000198551.9	19	11559374	11619135	0	1
ENSG00000198553.8	13	50015254	50020922	0	1
ENSG00000198554.11	14	54938950	55027105	1	1
ENSG00000198555.7	16	33976039	33987630	0	0
ENSG00000198556.13	7	99472841	99503650	0	1
ENSG00000198561.13	11	57753243	57819546	0	1
ENSG00000198563.13	6	31530219	31542448	1	1
ENSG00000198569.9	9	137230757	137236554	0	1
ENSG00000198570.5	1	211476522	211492917	1	1
ENSG00000198573.6	X	141241463	141242496	1	1
ENSG00000198574.5	1	162395266	162412138	1	1
ENSG00000198576.3	8	142611044	142614472	1	1
ENSG00000198580.7	7	6673494	6676366	0	0
ENSG00000198585.11	3	131381671	131388830	0	1
ENSG00000198586.13	2	170990823	171231314	1	1
ENSG00000198589.10	4	150264531	151015727	1	1
ENSG00000198590.11	3	37386269	37435497	0	0
ENSG00000198597.8	19	30228290	30713538	0	1
ENSG00000198598.6	12	131828393	131851783	0	1
ENSG00000198601.2	1	248179986	248181029	0	1
ENSG00000198604.10	14	34752731	34875647	1	1
ENSG00000198610.10	10	5195462	5218949	0	1
ENSG00000198612.10	2	237085312	237100466	0	1
ENSG00000198618.5	21	18857779	18858276	0	0
ENSG00000198624.12	5	151181052	151224145	1	1
ENSG00000198625.12	1	204516379	204558120	0	1
ENSG00000198626.15	1	237042205	237833988	0	1
ENSG00000198633.10	19	52429187	52452315	0	1
ENSG00000198642.6	9	21329671	21335380	1	1
ENSG00000198643.6	3	58633946	58666848	1	1
ENSG00000198646.13	20	34689097	34825649	1	1
ENSG00000198648.10	2	167954020	168248141	1	1
ENSG00000198650.10	16	71565660	71577130	1	1
ENSG00000198658.4	1	148146395	148149566	0	0
ENSG00000198663.16	6	36871870	36928964	0	1
ENSG00000198668.10	14	90396502	90408261	0	1
ENSG00000198670.11	6	160531483	160664259	1	1
ENSG00000198671.3	12	65017468	65054124	0	0
ENSG00000198673.10	12	61708259	62279150	1	1
ENSG00000198674.3	11	123994163	123995161	1	1
ENSG00000198677.10	5	95463895	95555007	1	1
ENSG00000198678.5	12	48559882	48562956	0	0
ENSG00000198680.4	9	25676389	25678440	1	1
ENSG00000198681.6	X	153179285	153183880	0	1
ENSG00000198682.12	10	87659613	87747705	0	1
ENSG00000198685.3	3	128572000	128576086	1	0
ENSG00000198689.10	X	135973841	136047269	0	1
ENSG00000198690.9	15	30903852	30943108	0	1
ENSG00000198691.11	1	93992835	94121132	1	1
ENSG00000198692.9	Y	17794246	17811675	0	1
ENSG00000198695.2	MT	14149	14673	1	1
ENSG00000198700.9	1	201829141	201884294	0	1
ENSG00000198703.2	1	158491219	158492160	0	0
ENSG00000198704.9	6	28503296	28528215	1	1
ENSG00000198707.14	12	88049014	88142216	1	1
ENSG00000198711.5	1	54236440	54239063	0	0
ENSG00000198712.1	MT	7586	8269	0	1
ENSG00000198715.11	1	156290089	156295689	1	1
ENSG00000198718.12	14	44962208	45074431	0	1
ENSG00000198719.8	6	170282206	170306565	1	1
ENSG00000198720.12	17	29589769	29614761	0	1
ENSG00000198721.12	6	4115689	4135597	1	1
ENSG00000198722.14	9	35161992	35405338	0	1
ENSG00000198723.10	19	7492976	7508450	0	1
ENSG00000198727.2	MT	14747	15887	0	1
ENSG00000198728.10	10	102107560	102120453	1	1
ENSG00000198729.4	6	150143076	150250357	0	1
ENSG00000198730.7	11	10750987	10779743	0	1
ENSG00000198732.10	14	69854131	70032366	0	1
ENSG00000198734.10	1	169514166	169586588	1	1
ENSG00000198736.11	16	1938210	1943326	1	1
ENSG00000198738.4	6	85735744	85735921	1	0
ENSG00000198739.10	10	66926006	67099830	0	1
ENSG00000198740.8	17	49289206	49362473	1	1
ENSG00000198742.9	7	99027438	99144100	1	1
ENSG00000198743.6	21	34073570	34106262	0	1
ENSG00000198744.5	1	634376	634922	0	0
ENSG00000198746.12	1	26890488	26900466	1	1
ENSG00000198752.10	14	102932379	103057462	1	1
ENSG00000198753.11	X	153764196	153779346	0	1
ENSG00000198754.5	1	39769523	39771348	1	1
ENSG00000198755.10	6	35468408	35470785	0	1
ENSG00000198756.10	1	183929854	184037729	1	1
ENSG00000198758.10	1	109750080	109764027	1	1
ENSG00000198759.11	X	13569605	13633575	0	1
ENSG00000198763.3	MT	4470	5511	0	1
ENSG00000198765.11	1	114854803	114995370	0	1
ENSG00000198768.10	20	58459101	58515131	1	1
ENSG00000198771.10	1	167630093	167706249	0	1
ENSG00000198774.4	12	85800697	85836570	1	1
ENSG00000198780.11	5	74777574	74866951	1	1
ENSG00000198783.5	17	34961530	34963775	0	1
ENSG00000198785.4	9	101569353	101738580	1	1
ENSG00000198786.2	MT	12337	14148	0	1
ENSG00000198787.5	4	4126659	4127569	1	0
ENSG00000198788.8	11	1074875	1110511	0	0
ENSG00000198791.11	8	17224964	17246878	1	1
ENSG00000198792.12	22	38219291	38273034	1	1
ENSG00000198793.12	1	11106535	11262507	1	1
ENSG00000198794.11	15	74957219	75021496	0	1
